poll 1: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 2: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 3: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 4: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 5: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 6: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 7: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 8: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 9: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 10: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 11: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 12: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 13: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 14: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 15: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 16: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 17: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 18: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 19: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
poll 20: holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose
holder: HY4-T1 | claimed_utc: 2026-09-15T16:35:00Z | purpose: hy4 fp8 TP16 v2 pa
