# qwen36_e2e_byteid scenario=perf reuse=0
# perf batch=4 cycles=3 reuse=0
TOK A 500000 4242
TOK A 500001 4200
TOK A 500010 4242
TOK A 500011 4200
TOK A 500020 4242
TOK A 500021 4200
TOK A 500030 4242
TOK B 500031 4200
TOK A 510000 4242
TOK A 510001 4200
TOK A 510010 4242
TOK A 510011 4200
TOK A 510020 4242
TOK A 510021 4200
TOK A 510030 4242
TOK B 510031 4200
TOK A 520000 4242
TOK A 520001 4200
TOK A 520010 4242
TOK A 520011 4200
TOK A 520020 4242
TOK A 520021 4200
TOK A 520030 4242
TOK B 520031 4200
TOK A 1000000 4242
TOK A 1000001 4200
TOK A 1000010 4242
TOK A 1000011 4200
TOK A 1000020 4242
TOK A 1000021 4200
TOK A 1000030 4242
TOK B 1000031 4200
TOK A 1010000 4242
TOK A 1010001 4200
TOK A 1010010 4242
TOK A 1010011 4200
TOK A 1010020 4242
TOK A 1010021 4200
TOK A 1010030 4242
TOK B 1010031 4200
TOK A 1020000 4242
TOK A 1020001 4200
TOK A 1020010 4242
TOK A 1020011 4200
TOK A 1020020 4242
TOK A 1020021 4200
TOK A 1020030 4242
TOK B 1020031 4200
TOK A 1500000 4242
TOK A 1500001 4200
TOK A 1500010 4242
TOK A 1500011 4200
TOK A 1500020 4242
TOK A 1500021 4200
TOK A 1500030 4242
TOK B 1500031 4200
TOK A 1510000 4242
TOK A 1510001 4200
TOK A 1510010 4242
TOK A 1510011 4200
TOK A 1510020 4242
TOK A 1510021 4200
TOK A 1510030 4242
TOK B 1510031 4200
TOK A 1520000 4242
TOK A 1520001 4200
TOK A 1520010 4242
TOK A 1520011 4200
TOK A 1520020 4242
TOK A 1520021 4200
TOK A 1520030 4242
TOK B 1520031 4200
