2026-08-23T06:58:20Z 39248080512 | shards=0 | sums=no | procs=6 | {"name":"model.layers.3.router_bias","entry":{"offset":39248080512,"bytes":3584,"align":128,"kind":"f32","shape":[896]}, fleet_up=7
2026-08-23T07:28:40Z 90218272512 | shards=0 | sums=no | procs=6 | {"name":"model.layers.6.router_bias","entry":{"offset":90218272512,"bytes":3584,"align":128,"kind":"f32","shape":[896]}, fleet_up=7
2026-08-23T07:41:46Z 123875655296 | shards=0 | sums=no | procs=6 | {"name":"model.layers.8.router_bias","entry":{"offset":123875655296,"bytes":3584,"align":128,"kind":"f32","shape":[896]} fleet_up=6
2026-08-23T07:47:49Z 134357224576 | shards=0 | sums=no | procs=6 | {"name":"model.layers.8.expert_w1_weight","entry":{"offset":123875658880,"bytes":10481565696,"align":128,"kind":"mxfp4_w fleet_up=7
2026-08-23T07:57:01Z 140865719296 | shards=0 | sums=no | procs=7 | {"name":"model.layers.9.router_bias","entry":{"offset":140865719296,"bytes":3584,"align":128,"kind":"f32","shape":[896]} fleet_up=0
2026-08-23T08:02:01Z 157855783296 | shards=0 | sums=no | procs=6 | {"name":"model.layers.10.router_bias","entry":{"offset":157855783296,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T08:07:02Z 174523102080 | shards=0 | sums=no | procs=6 | {"name":"model.layers.11.router_bias","entry":{"offset":174523102080,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T09:00:18Z 276140740864 | shards=0 | sums=no | procs=6 | {"name":"model.layers.17.router_bias","entry":{"offset":276140740864,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T09:06:15Z 293130804864 | shards=0 | sums=no | procs=6 | {"name":"model.layers.18.router_bias","entry":{"offset":293130804864,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T09:12:12Z 293130804864 | shards=0 | sums=no | procs=6 | {"name":"model.layers.18.router_bias","entry":{"offset":293130804864,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T09:18:11Z 309798123648 | shards=0 | sums=no | procs=6 | {"name":"model.layers.19.router_bias","entry":{"offset":309798123648,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T09:24:09Z 326788187648 | shards=0 | sums=no | procs=6 | {"name":"model.layers.20.router_bias","entry":{"offset":326788187648,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T09:30:07Z 343687561216 | shards=0 | sums=no | procs=6 | {"name":"model.layers.21.kda_out_norm_weight","entry":{"offset":343589216640,"bytes":512,"align":128,"kind":"f32","shape fleet_up=7
2026-08-23T09:36:05Z 343778251648 | shards=0 | sums=no | procs=6 | {"name":"model.layers.21.router_bias","entry":{"offset":343778251648,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T09:42:02Z 360768315648 | shards=0 | sums=no | procs=6 | {"name":"model.layers.22.router_bias","entry":{"offset":360768315648,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T09:48:00Z 377435634432 | shards=0 | sums=no | procs=6 | {"name":"model.layers.23.router_bias","entry":{"offset":377435634432,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T09:53:58Z 377435634432 | shards=0 | sums=no | procs=6 | {"name":"model.layers.23.router_bias","entry":{"offset":377435634432,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T09:59:56Z 394425698432 | shards=0 | sums=no | procs=6 | {"name":"model.layers.24.router_bias","entry":{"offset":394425698432,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T10:12:12Z 428405826432 | shards=0 | sums=no | procs=6 | {"name":"model.layers.26.router_bias","entry":{"offset":428405826432,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T10:18:10Z 428405826432 | shards=0 | sums=no | procs=6 | {"name":"model.layers.26.router_bias","entry":{"offset":428405826432,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T10:24:07Z 445073145216 | shards=0 | sums=no | procs=6 | {"name":"model.layers.27.router_bias","entry":{"offset":445073145216,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T10:30:05Z 462063209216 | shards=0 | sums=no | procs=6 | {"name":"model.layers.28.router_bias","entry":{"offset":462063209216,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T10:36:04Z 475044773888 | shards=0 | sums=no | procs=6 | {"name":"model.layers.28.expert_w1_weight","entry":{"offset":462063212800,"bytes":10481565696,"align":128,"kind":"mxfp4_ fleet_up=7
2026-08-23T10:42:01Z 479053273216 | shards=0 | sums=no | procs=6 | {"name":"model.layers.29.router_bias","entry":{"offset":479053273216,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T10:47:59Z 479053273216 | shards=0 | sums=no | procs=6 | {"name":"model.layers.29.router_bias","entry":{"offset":479053273216,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T10:53:56Z 496043337216 | shards=0 | sums=no | procs=6 | {"name":"model.layers.30.router_bias","entry":{"offset":496043337216,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=6
2026-08-23T10:59:17Z 496043337216 | shards=0 | sums=no | procs=6 | {"name":"model.layers.30.router_bias","entry":{"offset":496043337216,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T11:05:15Z 512710656000 | shards=0 | sums=no | procs=6 | {"name":"model.layers.31.router_bias","entry":{"offset":512710656000,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
2026-08-23T11:12:25Z 512710656000 | shards=0 | sums=no | procs=6 | {"name":"model.layers.31.router_bias","entry":{"offset":512710656000,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=7
